Nombre del Producto,URL de la Imagen
Juego Nintendo Switch 2 EA Sports FC 26,https://backoffice.max.com.gt/media/catalog/product/N/S/NSW2FC26_1_25092025222305.jpg
Juego Nintendo Switch Super Mario Galaxy + Super Mario Galaxy 2,https://backoffice.max.com.gt/media/catalog/product/H/A/HACPBPDPA_1_22092025180358.jpg
MicroSD Express Card Samsung para Nintendo Switch 2 de 256GB,https://backoffice.max.com.gt/media/catalog/product/S/A/SAMSD256GBEXP_1.jpg
Juego Nintendo Switch 2 Kirby and the Forgotten Land + Star-Crossed World,https://backoffice.max.com.gt/media/catalog/product/N/S/NS2KIRBYFLSTRC_1_16122025111030.jpg
Juego Nintendo Switch 2 Pac-Man World 2 Re-Pac,https://backoffice.max.com.gt/media/catalog/product/N/S/NS2PACMAN2REPC_1.png
Juego Nintendo Switch Pac-Man World 2 Re-Pac,https://backoffice.max.com.gt/media/catalog/product/N/S/NSWPACMAN2REPC_1.png
Consola Nintendo Switch 2 + Juego Mario Kart World (Descargable),https://backoffice.max.com.gt/media/catalog/product/N/S/NSW2BUNMKWUS_1.jpg
Juego Nintendo Switch 2 Mario Kart World,https://backoffice.max.com.gt/media/catalog/product/d/i/dise_o_sin_t_tulo_4_1_.png
Juego Nintendo Switch 2 Split Fiction,https://backoffice.max.com.gt/media/catalog/product/N/S/NSW2SPLITFICTI_1.jpg
Juego Nintendo Switch 2 The Legend of Zelda: Breath of the Wild,https://backoffice.max.com.gt/media/catalog/product/N/S/NSW2ZELDABOW_1_29072025145046.jpg
Juego Nintendo Switch 2 The Legend of Zelda: Tears of the Kingdom,https://backoffice.max.com.gt/media/catalog/product/N/S/NSW2ZELDATEARK_1.jpg
Juego Nintendo Switch 2 Pokémon Legends: Z-A,https://backoffice.max.com.gt/media/catalog/product/N/S/NS2POKELEGENZA_1_5112025090622.jpg
